bus,stop
12,01012
175,01012
2,01012
32,01012
33,01012
51,01012
61,01012
63,01012
7,01012
80,01012
NR7,01012
130,01013
133,01013
145,01013
197,01013
851,01013
960,01013
NR7,01013
12,01019
130,01019
133,01019
2,01019
33,01019
960,01019
NR7,01019
145,01029
175,01029
197,01029
32,01029
51,01029
61,01029
63,01029
7,01029
80,01029
851,01029
145,01039
175,01039
197,01039
32,01039
51,01039
61,01039
63,01039
7,01039
80,01039
851,01039
12,01112
175,01112
197,01112
63,01112
7,01112
80,01112
851,01112
960,01112
980,01112
NR7,01112
12,01119
130,01119
133,01119
2,01119
33,01119
960,01119
NR7,01119
145,01139
175,01139
197,01139
32,01139
51,01139
61,01139
63,01139
7,01139
80,01139
851,01139
107,01319
107M,01319
12,01319
133,01319
2,01319
33,01319
NR7,01319
145,01329
175,01329
197,01329
32,01329
51,01329
61,01329
63,01329
7,01329
80,01329
961,01329
961C,01329
980,01329
100,01339
145,01339
175,01339
197,01339
32,01339
51,01339
61,01339
63,01339
7,01339
80,01339
961,01339
961C,01339
980,01339
100,01341
961,01341
961C,01341
980,01341
100,01349
100,01419
100,01421
961,01421
961C,01421
980,01421
100,01429
100,01511
107,01511
107M,01511
961,01511
961C,01511
980,01511
100,01519
107,01519
107M,01519
57,01519
961,01519
961C,01519
980,01519
100,01521
107,01521
107M,01521
961,01521
961C,01521
980,01521
100,01529
107,01529
107M,01529
961,01529
961C,01529
980,01529
48,01541
57,01541
2N,01549
48,01549
4N,01549
100,01611
107,01611
56,01611
57,01611
961,01611
961C,01611
100,01619
107,01619
107M,01619
56,01619
57,01619
961,01619
961C,01619
100,01621
107,01621
57,01621
961,01621
961C,01621
980,01621
100,01629
107,01629
107M,01629
57,01629
961,01629
961C,01629
56,01631
980,01631
56,01639
980,01639
100,02011
107,02011
130,02011
131,02011
167,02011
75,02011
100,02029
107,02029
130,02029
131,02029
167,02029
75,02029
130,02031
106,02049
111,02049
128,02049
130,02049
131,02049
133,02049
14,02049
14e,02049
16,02049
162,02049
162M,02049
167,02049
171,02049
36,02049
502,02049
502A,02049
518,02049
518A,02049
700,02049
700A,02049
77,02049
857,02049
960,02049
106,02051
111,02051
133,02051
162M,02051
171,02051
195,02051
1N,02051
2N,02051
36,02051
3N,02051
4N,02051
56,02051
5N,02051
6N,02051
700A,02051
70M,02051
75,02051
77,02051
857,02051
960,02051
961C,02051
97,02051
97e,02051
NR1,02051
NR2,02051
NR5,02051
NR6,02051
NR7,02051
NR8,02051
106,02061
111,02061
133,02061
162M,02061
171,02061
195,02061
1N,02061
2N,02061
36,02061
3N,02061
4N,02061
56,02061
5N,02061
6N,02061
700A,02061
70M,02061
75,02061
77,02061
857,02061
960,02061
961C,02061
97,02061
97e,02061
NR1,02061
NR2,02061
NR5,02061
NR6,02061
NR7,02061
NR8,02061
107M,02089
171,02089
195,02089
36,02089
56,02089
75,02089
77,02089
960,02089
961C,02089
97,02089
97e,02089
NR2,02089
NR5,02089
NR7,02089
NR8,02089
171,02099
195,02099
1N,02099
2N,02099
3N,02099
4N,02099
56,02099
5N,02099
6N,02099
75,02099
77,02099
960,02099
97,02099
97e,02099
NR2,02099
NR5,02099
NR7,02099
NR8,02099
171,02101
195,02101
1N,02101
2N,02101
3N,02101
4N,02101
56,02101
5N,02101
6N,02101
75,02101
77,02101
960,02101
961C,02101
97,02101
97e,02101
NR2,02101
NR5,02101
NR7,02101
NR8,02101
10,02111
128,02111
162,02111
196,02111
57,02111
70,02111
700,02111
868,02111
971E,02111
NR2,02111
NR5,02111
NR7,02111
NR8,02111
10,02119
10e,02119
128,02119
162,02119
196,02119
196e,02119
57,02119
70,02119
700,02119
971E,02119
107M,02141
36,02149
106,02151
111,02151
133,02151
162M,02151
36,02151
502,02151
502A,02151
518,02151
518A,02151
700A,02151
70M,02151
857,02151
868,02151
97,02151
97e,02151
36,02159
97,02159
97e,02159
106,02161
111,02161
133,02161
162M,02161
36,02161
502,02161
502A,02161
518,02161
518A,02161
700A,02161
70M,02161
857,02161
868,02161
97,02161
97e,02161
107M,02169
97,02169
97e,02169
106,02171
111,02171
133,02171
162M,02171
36,02171
502,02171
502A,02171
518,02171
518A,02171
700A,02171
70M,02171
857,02171
97,02171
97e,02171
195,02181
961,02181
961C,02181
10,03011
100,03011
107,03011
10e,03011
128,03011
130,03011
131,03011
162,03011
167,03011
196,03011
196e,03011
57,03011
70,03011
700,03011
75,03011
868,03011
971E,03011
NR2,03011
NR5,03011
NR7,03011
NR8,03011
10,03019
100,03019
107,03019
10e,03019
128,03019
130,03019
131,03019
162,03019
167,03019
196,03019
196e,03019
57,03019
70,03019
700,03019
75,03019
971E,03019
131,03021
167,03021
57,03021
700,03021
971E,03021
10,03031
100,03031
107,03031
10e,03031
128,03031
130,03031
162,03031
196,03031
196e,03031
70,03031
75,03031
868,03031
186,03041
970,03041
10,03059
100,03059
107,03059
10e,03059
128,03059
130,03059
131,03059
162,03059
167,03059
186,03059
196,03059
196e,03059
57,03059
70,03059
700,03059
75,03059
970,03059
971E,03059
NR1,03059
NR6,03059
10,03071
10e,03071
196,03071
196e,03071
513,03071
868,03071
97,03071
97e,03071
10,03111
100,03111
107,03111
10e,03111
128,03111
130,03111
162,03111
196,03111
196e,03111
513,03111
70,03111
75,03111
868,03111
97,03111
97e,03111
10,03129
100,03129
106,03129
107,03129
10e,03129
128,03129
130,03129
131,03129
162,03129
167,03129
186,03129
196,03129
196e,03129
513,03129
57,03129
70,03129
700,03129
75,03129
97,03129
970,03129
971E,03129
97e,03129
NR1,03129
NR6,03129
131,03151
167,03151
186,03151
57,03151
700,03151
970,03151
971E,03151
106,03211
107,03211
130,03211
133,03211
162,03211
186,03211
400,03211
402,03211
70,03211
700,03211
970,03211
106,03218
107,03218
128,03218
130,03218
133,03218
162,03218
167,03218
186,03218
196,03218
196e,03218
400,03218
402,03218
513,03218
70,03218
700,03218
75,03218
970,03218
NR1,03218
NR6,03218
10,03222
100,03222
106,03222
107,03222
10e,03222
128,03222
130,03222
133,03222
162,03222
196,03222
196e,03222
400,03222
402,03222
513,03222
70,03222
75,03222
868,03222
97,03222
97e,03222
106,03239
107,03239
128,03239
130,03239
133,03239
162,03239
186,03239
400,03239
402,03239
70,03239
700,03239
970,03239
400,03321
402,03321
400,03329
402,03329
400,03331
402,03331
400,03339
402,03339
513,03381
97,03381
97e,03381
513,03391
97,03391
97e,03391
402,03421
106,03501
133,03501
97,03501
97e,03501
NR1,03501
NR6,03501
106,03509
133,03509
502,03509
502A,03509
518,03509
518A,03509
97,03509
97e,03509
106,03511
133,03511
97,03511
97e,03511
NR1,03511
NR6,03511
106,03519
133,03519
502,03519
502A,03519
518,03519
518A,03519
97,03519
97e,03519
106,03531
133,03531
106,03539
513,03539
97,03539
97e,03539
106,04111
111,04111
128,04111
131,04111
14,04111
14e,04111
16,04111
162,04111
162M,04111
167,04111
171,04111
175,04111
36,04111
7,04111
700,04111
700A,04111
77,04111
857,04111
971E,04111
106,04121
111,04121
124,04121
128,04121
131,04121
14,04121
147,04121
14e,04121
16,04121
162,04121
162M,04121
166,04121
167,04121
171,04121
174,04121
174e,04121
175,04121
190,04121
36,04121
7,04121
700,04121
700A,04121
77,04121
857,04121
971E,04121
NR7,04121
12,04142
197,04142
2,04142
32,04142
33,04142
51,04142
61,04142
63,04142
80,04142
124,04143
147,04143
166,04143
174,04143
174e,04143
190,04143
12,04149
147,04149
190,04149
2,04149
33,04149
130,04151
133,04151
145,04151
197,04151
851,04151
960,04151
12,04159
147,04159
190,04159
2,04159
33,04159
NR7,04159
124,04167
145,04167
166,04167
174,04167
174e,04167
197,04167
1N,04167
2N,04167
3N,04167
4N,04167
5N,04167
61,04167
6N,04167
NR1,04167
NR2,04167
NR5,04167
NR6,04167
NR7,04167
NR8,04167
195,04168
32,04168
51,04168
63,04168
80,04168
851,04168
961,04168
961C,04168
106,04179
111,04179
128,04179
131,04179
14,04179
14e,04179
16,04179
162,04179
162M,04179
167,04179
171,04179
175,04179
36,04179
502,04179
502A,04179
518,04179
518A,04179
7,04179
700,04179
700A,04179
77,04179
857,04179
NR7,04179
131,04189
147,04189
166,04189
857,04189
195,04211
1N,04211
2N,04211
32,04211
3N,04211
4N,04211
54,04211
5N,04211
6N,04211
NR1,04211
NR2,04211
NR3,04211
NR5,04211
NR6,04211
NR7,04211
NR8,04211
195,04219
32,04219
54,04219
NR1,04219
NR2,04219
NR3,04219
NR5,04219
NR6,04219
NR7,04219
NR8,04219
12,04222
124,04222
145,04222
147,04222
166,04222
174,04222
174e,04222
190,04222
197,04222
1N,04222
2,04222
2N,04222
33,04222
3N,04222
4N,04222
51,04222
54,04222
5N,04222
61,04222
63,04222
6N,04222
80,04222
851,04222
961,04222
961C,04222
NR1,04222
NR2,04222
NR3,04222
NR5,04222
NR6,04222
NR7,04222
NR8,04222
124,04223
145,04223
147,04223
166,04223
174,04223
174e,04223
190,04223
851,04223
12,04229
147,04229
190,04229
2,04229
33,04229
12,04239
147,04239
190,04239
2,04239
33,04239
54,04239
124,04249
145,04249
166,04249
174,04249
174e,04249
197,04249
1N,04249
2N,04249
3N,04249
4N,04249
51,04249
5N,04249
61,04249
63,04249
6N,04249
80,04249
851,04249
961,04249
961C,04249
NR1,04249
NR2,04249
NR5,04249
NR6,04249
NR7,04249
NR8,04249
195,04251
32,04251
123,04311
139,04311
143,04311
64,04311
123,04321
143,04321
64,04321
123,04329
143,04329
64,04329
195,04331
1N,04331
2N,04331
32,04331
3N,04331
4N,04331
54,04331
5N,04331
6N,04331
NR1,04331
NR2,04331
NR3,04331
NR5,04331
NR6,04331
NR7,04331
NR8,04331
195,04339
32,04339
54,04339
NR1,04339
NR2,04339
NR3,04339
NR5,04339
NR6,04339
NR7,04339
NR8,04339
NR1,05009
NR3,05009
124,05022
145,05022
147,05022
166,05022
190,05022
54,05022
851,05022
12,05023
174,05023
174e,05023
197,05023
2,05023
33,05023
51,05023
61,05023
63,05023
80,05023
961,05023
961C,05023
CT28,05023
124,05029
145,05029
166,05029
174,05029
174e,05029
197,05029
1N,05029
2N,05029
3N,05029
4N,05029
51,05029
5N,05029
61,05029
63,05029
6N,05029
80,05029
851,05029
961,05029
961C,05029
NR1,05029
NR2,05029
NR3,05029
NR5,05029
NR6,05029
NR7,05029
NR8,05029
12,05049
143,05049
147,05049
190,05049
2,05049
33,05049
54,05049
CT18,05049
CT28,05049
CT8,05049
12,05059
147,05059
190,05059
2,05059
33,05059
54,05059
CT28,05059
186,05129
970,05129
145,05199
166,05199
197,05199
61,05199
80,05199
186,05319
970,05319
NR1,05319
NR2,05319
NR5,05319
NR6,05319
NR7,05319
NR8,05319
145,05411
80,05411
145,05419
80,05419
167,05519
196,05519
75,05519
167,05629
196,05629
75,05629
167,05631
196,05631
75,05631
10,05641
100,05641
131,05641
145,05641
30,05641
57,05641
80,05641
97,05641
97e,05641
10,05649
100,05649
131,05649
145,05649
30,05649
57,05649
80,05649
97,05649
97e,05649
NR1,05649
NR6,05649
145,05651
80,05651
174,06031
174e,06031
174,06039
174e,06039
33,06049
63,06049
75,06049
851,06049
970,06049
123,06051
16,06051
175,06051
195,06051
33,06051
5,06051
63,06051
75,06051
851,06051
970,06051
NR5,06051
123,06069
16,06069
175,06069
195,06069
5,06069
75,06069
970,06069
NR5,06069
123,06071
16,06071
175,06071
195,06071
5,06071
75,06071
970,06071
NR5,06071
123,06081
16,06081
175,06081
195,06081
5,06081
75,06081
970,06081
NR5,06081
16,06129
175,06129
195,06129
5,06129
75,06129
970,06129
NR5,06129
16,06131
175,06131
195,06131
1N,06131
2N,06131
3N,06131
4N,06131
5,06131
5N,06131
6N,06131
75,06131
970,06131
NR5,06131
186,06141
1N,06141
2N,06141
3N,06141
4N,06141
51,06141
5N,06141
64,06141
6N,06141
123,06149
186,06149
51,06149
64,06149
123,06151
186,06151
1N,06151
2N,06151
3N,06151
4N,06151
51,06151
5N,06151
64,06151
6N,06151
123,06159
186,06159
51,06159
64,06159
123,06161
186,06161
51,06161
64,06161
123,06169
186,06169
51,06169
64,06169
143,06171
174,06171
174e,06171
186,06171
51,06171
143,06189
174,06189
174e,06189
186,06189
51,06189
131,07011
139,07011
147,07011
166,07011
1N,07011
2N,07011
3N,07011
4N,07011
5N,07011
64,07011
65,07011
6N,07011
857,07011
NR6,07011
125,07211
130,07211
139,07211
147,07211
21,07211
23,07211
64,07211
65,07211
66,07211
67,07211
857,07211
NR6,07211
125,07221
130,07221
139,07221
147,07221
21,07221
23,07221
64,07221
65,07221
66,07221
857,07221
NR6,07221
125,07231
130,07231
21,07231
145,07241
145,07249
67,07249
130,07319
139,07319
147,07319
23,07319
64,07319
65,07319
66,07319
67,07319
857,07319
NR6,07319
125,07329
130,07329
139,07329
147,07329
21,07329
23,07329
64,07329
65,07329
66,07329
67,07329
857,07329
NR6,07329
13,07351
133,07351
145,07351
67,07351
13,07359
133,07359
145,07359
67,07359
13,07361
133,07361
145,07361
67,07361
107,07369
107M,07369
13,07369
133,07369
145,07369
175,07369
61,07369
67,07369
961,07369
961C,07369
107,07371
107M,07371
13,07371
133,07371
145,07371
175,07371
61,07371
67,07371
961,07371
961C,07371
107,07379
107M,07379
13,07379
133,07379
145,07379
175,07379
61,07379
67,07379
961,07379
961C,07379
139,07509
64,07509
65,07509
NR6,07509
56,07518
980,07518
56,07561
56,07569
980,07569
131,07571
139,07571
147,07571
166,07571
56,07571
64,07571
65,07571
857,07571
NR6,07571
123,08011
139,08011
143,08011
64,08011
123,08019
139,08019
143,08019
64,08019
106,08031
111,08031
124,08031
128,08031
14,08031
14e,08031
16,08031
162,08031
162M,08031
167,08031
171,08031
174,08031
174e,08031
175,08031
190,08031
36,08031
65,08031
7,08031
700,08031
700A,08031
77,08031
971E,08031
NR6,08031
NR7,08031
106,08041
111,08041
124,08041
128,08041
139,08041
14,08041
14e,08041
16,08041
162,08041
162M,08041
167,08041
171,08041
174,08041
174e,08041
175,08041
190,08041
36,08041
64,08041
65,08041
7,08041
700,08041
700A,08041
77,08041
971E,08041
NR6,08041
NR7,08041
106,08057
111,08057
124,08057
128,08057
14,08057
14e,08057
16,08057
162,08057
162M,08057
167,08057
171,08057
174,08057
174e,08057
175,08057
190,08057
1N,08057
2N,08057
