direction,False,key
2,,10
2,,100
1,,101
1,,103
2,,105
2,,106
2,,107
1,,107M
2,,109
2,,10e
1,,11
1,,111
1,,112
1,,113
1,,115
1,,116
1,,119
2,,12
1,,123
1,,123M
1,,124
1,,125
2,,128
2,,13
2,,130
2,,131
2,,132
2,,133
1,,135
2,,136
1,,138
2,,139
2,,14
1,,142
2,,143
2,,145
2,,147
2,,14e
1,,15
2,,151
2,,151e
2,,153
2,,154
1,,155
2,,156
2,,157
1,,158
2,,159
2,,16
2,,160
2,,161
2,,162
1,,162M
2,,163
1,,163M
2,,165
2,,166
2,,167
2,,168
2,,169
1,,17
2,,170
2,,170X
2,,171
2,,172
1,,173
2,,174
2,,174e
2,,175
2,,176
1,,177
2,,178
1,,179
1,,18
1,,180
1,,181
1,,182
1,,182M
1,,183
1,,184
2,,185
2,,186
2,,187
2,,188
1,,188E
2,,188R
1,,189
1,,19
2,,190
1,,191
2,,192
2,,193
1,,194
1,,195
2,,196
2,,196e
2,,197
2,,198
1,,199
1,,1N
2,,2
1,,200
2,,21
2,,22
1,,222
2,,225
1,,228
1,,229
1,,23
1,,231
1,,232
1,,235
1,,238
1,,24
1,,240
1,,241
1,,242
2,,243
1,,246
1,,249
2,,25
1,,251
1,,252
1,,254
1,,255
1,,257
2,,26
1,,261
1,,262
1,,265
1,,268
1,,269
1,,27
1,,272
1,,273
1,,275
2,,28
1,,282
1,,284
1,,285
1,,29
1,,291
1,,292
1,,293
1,,2N
2,,3
2,,30
1,,300
1,,302
1,,307
2,,30e
2,,31
1,,315
1,,317
2,,32
1,,325
2,,33
1,,333
1,,334
1,,335
1,,34
1,,35
1,,354
1,,358
1,,359
1,,36
1,,37
1,,372
2,,38
2,,39
1,,3N
1,,40
1,,400
1,,401
1,,402
1,,403
1,,405
1,,408
1,,409
2,,410
1,,42
2,,43
2,,45
2,,48
1,,4N
2,,5
2,,50
1,,502
1,,502A
2,,506
2,,51
2,,513
1,,518
1,,518A
2,,52
1,,53
2,,54
1,,55
2,,56
2,,57
2,,58
2,,59
1,,5N
1,,6
1,,60
2,,61
1,,62
1,,63
1,,63M
1,,64
2,,65
2,,66
2,,67
1,,69
1,,6N
2,,7
2,,70
2,,700
1,,700A
1,,70M
2,,72
1,,73
2,,74
2,,74e
2,,75
1,,76
2,,77
1,,78
1,,79
2,,8
2,,80
1,,800
1,,804
1,,806
2,,81
1,,811
1,,812
1,,82
1,,825
1,,83
1,,84
2,,85
2,,851
2,,852
2,,853
2,,853C
2,,854
1,,854E
2,,855
2,,856
1,,857
1,,858
2,,859
2,,86
1,,860
1,,868
2,,87
2,,88
1,,882
1,,89
2,,89e
1,,9
1,,90
1,,900
1,,900A
1,,901
1,,902
1,,903
1,,91
1,,911
1,,912
1,,913
1,,92
1,,920
1,,922
2,,925
1,,925C
1,,926
1,,927
2,,93
1,,94
1,,941
1,,945
1,,947
1,,95
2,,950
1,,96
2,,960
2,,961
2,,961C
1,,962
2,,963
2,,963E
2,,963R
1,,964
1,,965
1,,966
2,,969
2,,97
2,,970
2,,971E
1,,975
2,,97e
1,,98
2,,980
2,,981
2,,985
1,,98M
1,,99
1,,BPS1
2,,CT18
1,,CT28
2,,CT8
1,,NR1
1,,NR2
1,,NR3
1,,NR5
1,,NR6
1,,NR7
1,,NR8
1,,RWS8
